date,user,text,slug
2000-05-14,Охотник_за_НЛО,"Сегодня ночью над полем видел три огня. Летели зигзагами, а потом зависли. У меня плёнка есть, но сканер сломался...",ogni-nad-polem
2000-07-22,Паранормальный_Скептик,"Я проверил плёнку у Охотника. Обычные самолёты + блики от фар на трассе. Ничего сверхъестественного.",pomekhi-na-kamere
2000-09-10,Искатель_Истины,"Ребят, нашёл на старом FTP-сервере сканы документов про проект «Монток». Похоже на правду. Если кто шарит в радиофизике — отзовитесь в личку.",proekt-montok
2001-01-05,Серебряный_Шар,"У меня дед в 60-х работал на военном полигоне. Он говорил, что после некоторых испытаний солдаты видели «призраков в противогазах». Может, это связано с Монтоком?",ded-protivogaz
2001-03-17,Искатель_Истины,"Выложил сравнительный анализ трёх заброшенных психбольниц. Планы подвалов совпадают с точностью до сантиметра. Кто проектировал — молчит. Ссылка внутри.",podvaly-sovpadayut
2001-06-02,Крипто-Хоббит,"Слушай, Искатель, а ты не думал, что это всё масонский заговор? У них везде свои ложные схемы. )) Я серьёзно.",masony
2001-08-19,Искатель_Истины,"Ответ Крипто-Хоббиту: масоны — слишком просто. Скорее военно-промышленный комплекс. Кстати, новый слив: список имён людей, чьи смерти оплатила фармкорпорация. Имена удалю, но вот скрин.",spisok-smertey
2001-10-31,Любитель_теорий,"Хэллоуин. В прошлом году я записывал звуки на кладбище. На одной записи — шёпот. Если кому интересно, могу выложить в RealAudio.",shepot-na-kladbishe
2002-01-12,Искатель_Истины,"У меня новый источник внутри «Пентекса». Говорит, что они проводят эксперименты с добровольцами, которые потом... исчезают. Я встревожен. Держите пароль к архиву: ***** (удалю через день).",istochnik-penteks
2002-02-14,Белая_Ворона,"Искатель, ты в своём уме? Такие вещи не выкладывают открыто. Удали, пока не поздно. Мы все за тебя волнуемся.",ne-riskuy
2002-03-09,Искатель_Истины,"Извините, погорячился. Пароль сменил. Те, кому надо, знают где искать. Кстати, у кого есть доступ к старым базам данных НАСА? Нужно кое-что проверить.",nasa-bazy
2002-04-25,Серый_Кардинал,"У меня есть друг на одном из серверов. Пиши в ICQ: 13456789. Но не говори, что это я.",icq-druzhok
2002-06-11,Искатель_Истины,"Сегодня фоткал свой подъезд с веб-камеры Logitech. На одном кадре — тень, которой не должно быть. Сравните с предыдущим днём. Тень разная. Кто-то ходит за мной.",ten-v-podyezde
2002-08-03,Старый_Архивариус,"В 1963 году под моим домом слышали странный гул. Тогда пробурили скважину и нашли пустоту. А потом всё залили бетоном. Есть у кого чертежи коммуникаций?",gul-iz-podzemlya
2002-08-20,Искатель_Истины,"Архивариус, скинь координаты. Я проверю по старым картам. Похоже, эти пустоты есть под многими городами.",pustoty-pod-gorodami
2002-09-05,Мертвый_Эфир,"Кто-нибудь знает, что за препарат «Пигмент»? Слышал, он позволяет видеть призраков. Или умереть. Двойная цена.",pigment-vopros
2002-09-28,Искатель_Истины,"Мертвый_Эфир, лучше держись от этого подальше. Я видел фото тех, кто принимал. Они выглядят... полупрозрачными. Потом исчезают. Мой источник пропал три дня назад.",propad-istochnika
2002-10-15,Искатель_Истины,"Чёрная машина уже вторую ночь стоит у моего дома. Номер я записал, но он не бьётся ни по одной базе. Кто меня читает — сделайте резервную копию всего, что я выкладывал. Пароль у Кела.",chernaya-mashina
2002-10-30,Искатель_Истины,"Друзья. Если завтра меня не будет — значит, они пришли. Стена в моей комнате начала шевелиться. Я не сплю уже трое суток. Всё, что я знаю, — в архиве. Кел, найди правду. Прощайте.",proshayte
2002-11-05,Охотник_за_НЛО,"Искатель_Истины, ты где? Твой последний пост меня пугает. Ответь кто-нибудь, у кого есть его телефон?",gde-iskatel
2002-11-18,Паранормальный_Скептик,"Я звонил ему на мобильный. Трубку взял незнакомый голос, сказал: «Его больше нет». И отключился. Может, это розыгрыш?",trubka-neznakomets
2002-12-02,Серебряный_Шар,"На других форумах пишут, что Искатель_Истины работает на корпорацию «Орфей». Кто-нибудь знает что это за компания? Может, он просто уволился и уехал? Кто-то знает их контакты?",orfei-sluhi
2002-12-05,Искатель_Истины,"Это не Лео. Я тот, кому он доверил пароль. Кел. Лео действительно пропал. Если у вас есть любая информация — пишите мне на почту.",kel-soobschaet
2002-12-25,Любитель_теорий,"Рождество, а на душе кошки скребут. Пропал человек. Я сохранил все его файлы. Если с кем-то свяжутся его родные — отдам. Не молчите, ребята.",rozhdestvo-bez-iskatelya
2003-01-20,Мертвый_Эфир,"Кто-нибудь пробовал выйти на связь через цифровой эфир? Я нашёл в его архивах упоминания про «проекцию». Может, он жив, но в другом теле.",proektsiya-zhiv
2003-02-14,Крипто-Хоббит,"Ребята, давайте не будем терять надежду. Может, Искатель_Истины просто в коме? И потом, он бы хотел, чтобы мы продолжали искать правду.",nadezhda-est
